
algoritihms            x          y           z          rx          ry       rz    distance
-------------  ---------  ---------  ----------  ----------  ----------  -------  ----------
Daniilidis     0.0417528  0.0152586  -0.022771   -0.175481    0.211495   89.4207   0.0499464
Horaud         0.0433247  0.0178266  -0.0194439   0.0370517  -0.0537371  89.3156   0.0507236
Park           0.0433182  0.0178166  -0.019428    0.0364254  -0.0523219  89.3211   0.0507084
Tsai-Lenz      0.0439109  0.0178358  -0.019791   -0.0394877  -0.123895   89.2285   0.0513612

name              x            y             z           rx           ry           rz     distance
------  -----------  -----------  ------------  -----------  -----------  -----------  -----------
mean    0.0430766    0.0171844    -0.0203585    -0.0353729   -0.00461475  89.3215      0.0506849
var     6.42126e-07  1.23623e-06   1.96112e-06   0.00751189   0.0164051    0.00463116  2.51205e-07
std     0.000801328  0.00111186    0.0014004     0.0866712    0.128082     0.0680526   0.000501204

Daniilidis              x             y             z           rx            ry           rz    distance
------------  -----------  ------------  ------------  -----------  ------------  -----------  ----------
point0        1.09725      -0.239353     -0.280505     1.57083       0.0251328    3.05519      1.15756
point1        1.09841      -0.236437     -0.279747     1.5502        0.0152805    3.05241      1.15787
point2        1.09939      -0.237928     -0.280293     1.55521       0.016176     3.05275      1.15924
point3        1.10022      -0.237304     -0.280628     1.55719       0.00880941   3.05096      1.15998
point4        1.092        -0.234644     -0.278762     1.55886       0.0293232    3.04574      1.15118
point5        1.09335      -0.233914     -0.278912     1.5509        0.0226024    3.04493      1.15236
point6        1.0924       -0.232659     -0.274749     1.56271       0.0114673    3.04728      1.1502
point7        1.09417      -0.22902      -0.275463     1.56997      -0.0166815    3.05031      1.15132
point8        1.09466      -0.229671     -0.274705     1.57052      -0.0199941    3.05216      1.15174
point9        1.09346      -0.229185     -0.275085     1.5725       -0.0228067    3.04957      1.15059
point10       1.09278      -0.231291     -0.272309     1.57577      -0.00894296   3.04983      1.1497
point11       1.09323      -0.232032     -0.271492     1.57336      -0.00436176   3.04882      1.15009
point12       1.09037      -0.233056     -0.273935     1.60244      -0.0038158    3.04899      1.14816
point13       1.08878      -0.230852     -0.276383     1.5791       -0.0169063    3.04957      1.14678
point14       1.08802      -0.231952     -0.274776     1.58395      -0.0195668    3.05108      1.1459
point15       1.0923       -0.233853     -0.27228      1.55996      -0.00138465   3.04837      1.14976
point16       1.09396      -0.237201     -0.274041     1.57061       0.023768     3.05396      1.15244
point17       1.09332      -0.235922     -0.27241      1.56105       0.0164882    3.05195      1.15118
point18       1.09019      -0.238073     -0.27283      1.57611      -0.00846882   3.05028      1.14876
point19       1.09074      -0.237906     -0.271252     1.57647      -0.0029939    3.0513       1.14886
point20       1.09226      -0.238051     -0.272675     1.5813        0.00303162   3.05295      1.15067
point21       1.09102      -0.237585     -0.272781     1.56609      -0.00406135   3.05008      1.14943
point22       1.09434      -0.233783     -0.271589     1.57137      -0.00473889   3.05144      1.15152
point23       1.09459      -0.233725     -0.271191     1.56727      -0.00587292   3.05171      1.15165
point24       1.09488      -0.234198     -0.271066     1.56905      -0.00317161   3.05232      1.15199
point25       1.09412      -0.233867     -0.27053      1.57429      -0.00114804   3.05034      1.15107
point26       1.09424      -0.234227     -0.270798     1.57568       0.000687064  3.05078      1.15132
point27       1.09211      -0.235038     -0.269581     1.56676       0.00950418   3.05066      1.14918
point28       1.09093      -0.233783     -0.269207     1.56141       0.000248924  3.0475       1.14771
point29       1.08735      -0.233652     -0.270325     1.57508      -0.00599764   3.05026      1.14455
point30       1.08723      -0.230821     -0.270734     1.57738      -0.00257796   3.05018      1.14396
point31       1.08783      -0.231272     -0.270387     1.57697      -0.0021345    3.0495       1.14454
point32       1.08983      -0.230419     -0.268697     1.56393       0.00362034   3.0439       1.14587
mean          1.09272      -0.23402      -0.27364      1.56983       0.000924655  3.05021      1.15052
var           1.00021e-05   7.96913e-06   1.18575e-05  0.000103375   0.000176466  5.69203e-06  1.454e-05
std           0.00316261    0.00282296    0.00344348   0.0101673     0.0132841    0.0023858    0.00381314

Horaud              x             y             z           rx            ry           rz     distance
--------  -----------  ------------  ------------  -----------  ------------  -----------  -----------
point0    1.09351      -0.240982     -0.282906     1.57593       0.0216062    3.05566      1.15493
point1    1.09486      -0.237283     -0.281762     1.55521       0.0118653    3.05385      1.15517
point2    1.09626      -0.238595     -0.282371     1.56032       0.0127706    3.05371      1.15691
point3    1.0972       -0.237754     -0.28253      1.56231       0.00548075   3.05214      1.15767
point4    1.0885       -0.235118     -0.282582     1.564         0.0260211    3.04702      1.1489
point5    1.08989      -0.234048     -0.282392     1.55602       0.0194624    3.04662      1.14995
point6    1.08832      -0.232629     -0.278011     1.56749       0.00828259   3.04968      1.14711
point7    1.08986      -0.228371     -0.279381     1.57458      -0.0198952    3.05286      1.14804
point8    1.09051      -0.229111     -0.278699     1.57524      -0.0232063    3.05451      1.14864
point9    1.0894       -0.228134     -0.278967     1.57707      -0.0260212    3.05217      1.14746
point10   1.08918      -0.2302       -0.276079     1.58049      -0.0121442    3.05223      1.14697
point11   1.08973      -0.231031     -0.274959     1.57809      -0.00755822   3.05124      1.14738
point12   1.08672      -0.233112     -0.278255     1.60722      -0.00758239   3.05019      1.14574
point13   1.08405      -0.230671     -0.280185     1.58342      -0.0207203    3.05181      1.14318
point14   1.0833       -0.231961     -0.278218     1.58826      -0.0233873    3.05331      1.14225
point15   1.08818      -0.233961     -0.274533     1.56428      -0.00519363   3.05068      1.1464
point16   1.09094      -0.237413     -0.27679      1.57548       0.0199872    3.05485      1.15027
point17   1.08994      -0.236131     -0.275045     1.56581       0.0127054    3.05331      1.14864
point18   1.08653      -0.239463     -0.275957     1.58089      -0.01243      3.05005      1.14631
point19   1.08743      -0.238935     -0.274384     1.58124      -0.00695995   3.05109      1.14668
point20   1.08947      -0.240104     -0.275879     1.5871        0.000834688  3.05279      1.14922
point21   1.08825      -0.239359     -0.276567     1.5719       -0.00624779   3.05006      1.14807
point22   1.09158      -0.235546     -0.274923     1.57718      -0.00693353   3.05143      1.15005
point23   1.09216      -0.234796     -0.274527     1.57308      -0.00806889   3.05169      1.15035
point24   1.09272      -0.235277     -0.274517     1.57484      -0.00537133   3.05186      1.15098
point25   1.09203      -0.234238     -0.274387     1.58009      -0.00337579   3.05031      1.15009
point26   1.09242      -0.234608     -0.274727     1.58146      -0.0015429    3.05038      1.1506
point27   1.08882      -0.235555     -0.272318     1.57222       0.00723847   3.0526       1.14681
point28   1.08702      -0.234289     -0.271353     1.56635      -0.00205126   3.05047      1.14461
point29   1.0829       -0.234175     -0.273316     1.58001      -0.00831138   3.0532       1.14114
point30   1.08275      -0.230422     -0.273906     1.58231      -0.00357331   3.05381      1.14038
point31   1.08344      -0.230869     -0.273449     1.58191      -0.0031265    3.05313      1.14101
point32   1.08573      -0.229513     -0.271132     1.56876       0.00374771   3.04781      1.14236
mean      1.0892       -0.234353     -0.276818     1.57487      -0.00193027   3.05171      1.14801
var       1.29931e-05   1.24167e-05   1.15067e-05  0.000102678   0.000175781  4.28893e-06  1.76899e-05
std       0.0036046     0.00352373    0.00339215   0.010133      0.0132582    0.00207097   0.00420593

Park               x             y             z           rx            ry           rz     distance
-------  -----------  ------------  ------------  -----------  ------------  -----------  -----------
point0   1.09351      -0.240956     -0.282932     1.57589       0.0216256    3.05557      1.15494
point1   1.09485      -0.237264     -0.281788     1.55517       0.0118724    3.05376      1.15516
point2   1.09625      -0.238571     -0.282399     1.56028       0.0127769    3.05362      1.15691
point3   1.09719      -0.23773      -0.282557     1.56227       0.00548096   3.05205      1.15766
point4   1.08852      -0.235091     -0.282591     1.56395       0.026021     3.04693      1.14892
point5   1.08991      -0.23402      -0.282402     1.55598       0.0194519    3.04653      1.14997
point6   1.08834      -0.23261      -0.278023     1.56746       0.00827366   3.04959      1.14712
point7   1.08987      -0.228376     -0.279396     1.57456      -0.0199036    3.05276      1.14806
point8   1.09052      -0.229113     -0.278713     1.57522      -0.0232149    3.05441      1.14866
point9   1.08941      -0.228142     -0.278983     1.57705      -0.0260294    3.05207      1.14748
point10  1.0892       -0.2302       -0.276093     1.58047      -0.0121529    3.05213      1.14699
point11  1.08974      -0.231028     -0.274974     1.57806      -0.00756693   3.05114      1.1474
point12  1.08674      -0.233114     -0.278266     1.60719      -0.00756159   3.0501       1.14577
point13  1.08407      -0.230686     -0.2802       1.58342      -0.0206972    3.05171      1.14322
point14  1.08332      -0.231968     -0.278234     1.58826      -0.0233642    3.05321      1.14228
point15  1.08818      -0.233963     -0.274551     1.56427      -0.00517055   3.05058      1.14641
point16  1.09095      -0.237398     -0.276811     1.57544       0.0200074    3.05476      1.15028
point17  1.08994      -0.236121     -0.275066     1.56578       0.0127265    3.05321      1.14865
point18  1.08655      -0.239458     -0.275975     1.58085      -0.0123792    3.04997      1.14634
point19  1.08745      -0.238932     -0.274402     1.58121      -0.00690912   3.05101      1.1467
point20  1.08949      -0.240092     -0.275898     1.58706       0.000872866  3.0527       1.14924
point21  1.08828      -0.239346     -0.276581     1.57185      -0.00621568   3.04998      1.1481
point22  1.09159      -0.235546     -0.274939     1.57714      -0.00690135   3.05134      1.15006
point23  1.09217      -0.234801     -0.274543     1.57303      -0.00803671   3.05161      1.15037
point24  1.09273      -0.23528      -0.274533     1.57479      -0.00533974   3.05178      1.15099
point25  1.09205      -0.23424      -0.2744       1.58004      -0.00335763   3.05023      1.1501
point26  1.09243      -0.234608     -0.27474      1.58141      -0.00152526   3.0503       1.15062
